Column,"Description",Category
INTW,"Interest rate of 1st mortgage - whole #",Housing Cost
INTW2,"Interest rate of 2nd mortgage - whole #",Housing Cost
INTW3,"Interest rate of 3rd mortgage - whole #",Housing Cost
IO,"1st mortgage changes due to “interest only” needs to be paid down",Housing Cost
IO2,"2nd mortgage changes due to “interest only” needs to be paid down",Housing Cost
IO3,"3rd mortgage changes due to “interest only” needs to be paid down",Housing Cost
LANDC,"Land contract for mortgage",Housing Cost
LANPMT,"Land rent included with mortgage payment",Housing Cost
LENMOD,"1st mortgage payment changed to prevent foreclosure",Housing Cost
LENMOD2,"2nd mortgage payment changed to prevent foreclosure",Housing Cost
LENMOD3,"3rd mortgage payment changed to prevent foreclosure",Housing Cost
LNFNBR,"Refinance solicitation of 1st mortgage",Housing Cost
LNFNBR2,"Refinance solicitation of 2nd mortgage",Housing Cost
LNFNBR3,"Refinance solicitation of 3rd mortgage",Housing Cost
LOOKHS,"Looked at both houses/mobile home & apartments",Housing Cost
LOOKNS,"Looked at other neighborhoods",Housing Cost
LOON,"% of 1st mortgage due in last payment",Housing Cost
LOON2,"% of 2nd mortgage due in last payment",Housing Cost
LOONCL,"Percentage of 1st mortgage due in last payment (calculated)",Housing Cost
LOONCL2,"Percentage of 2nd mortgage due in last payment (calculated)",Housing Cost
LOONCL3,"Percentage of 3rd mortgage due in last payment (calculated)",Housing Cost
LOWIN2,"2nd mortgage refinanced to get lower interest",Housing Cost
LOWIN3,"3rd mortgage refinanced to get lower interest",Housing Cost
LOWINT,"1st mortgage refinanced to get lower interest rate",Housing Cost
LPRICE,"Purchase price of unit and land",Housing Cost
LRENT,"Land/site rent",Housing Cost
LVALUE,"Current value of land",Housing Cost
MATBUY,"Got 1st mortgage in same year bought unit",Housing Cost
MATBY2,"Got 2nd mortgage in same year bought unit",Housing Cost
MATBY3,"Got 3rd mortgage in same year bought unit",Housing Cost
MAXADJ,"1st mortgage freq. of int. rate change limited where mtg. payment not fixed",Housing Cost
MAXADJ2,"2nd mortgage freq. of int. rate change limited where mtg. payment not fixed",Housing Cost
MAXADJ3,"3rd mortgage freq. of int. rate change limited where mtg. payment not fixed",Housing Cost
MCNT,"Number of regular mortgages",Housing Cost
MCOM,"1st mortgage covers business on property",Housing Cost
MCOM2,"2nd mortgage covers business on property",Housing Cost
MFARM,"1st mortgage covers farm land",Housing Cost
MFARM2,"2nd mortgage covers farm land",Housing Cost
MG,"Any mortgages on this property",Housing Cost
MGRESA,"1st mortgage shopped around before choosing lender",Housing Cost
MGRESA2,"2nd mortgage shopped around before choosing lender",Housing Cost
MGRESA3,"3rd mortgage shopped around before choosing lender",Housing Cost
MH32,"Mobile home on property used for living quarters",Housing Cost
MHOTFE,"Amount of other required mobile home fees",Housing Cost
MINPM,"1st mortgage pmt changed because choice of minimum payment increased",Housing Cost
MINPM2,"2nd mortgage pmt changed because choice of minimum payment increased",Housing Cost
MINPM3,"3rd mortgage pmt changed because choice of minimum payment increased",Housing Cost
MLNCLS,"1st mortgage chosen because of low closing costs",Housing Cost
MLNCLS2,"2nd mortgage chosen because of low closing costs",Housing Cost
MLNCLS3,"3rd mortgage chosen because of low closing costs",Housing Cost
MLNDWN,"1st mortgage chosen because believed interest rates would go down",Housing Cost
MLNDWN2,"2nd mortgage chosen because believed interest rates would go down",Housing Cost
MLNDWN3,"3rd mortgage chosen because believed interest rates would go down",Housing Cost
MLNINT,"1st mortgage chosen because of interest rate",Housing Cost
MLNINT2,"2nd mortgage chosen because of interest rate",Housing Cost
MLNINT3,"3rd mortgage chosen because of interest rate",Housing Cost
MLNOTH,"1st mortgage chosen for other reason",Housing Cost
MLNOTH2,"2nd mortgage chosen for other reason",Housing Cost
MLNOTH3,"3rd mortgage chosen for other reason",Housing Cost
MLNPM,"1st mortgage chosen because of payment amount",Housing Cost
MLNPM2,"2nd mortgage chosen because of payment amount",Housing Cost
MLNPM3,"3rd mortgage chosen because of payment amount",Housing Cost
MNMOR,"Month 1st mortgage obtained",Housing Cost
MNMOR2,"Month 2nd mortgage obtained",Housing Cost
MNMOR3,"Month 3rd mortgage obtained",Housing Cost
MORTIN,"Federal government guarantor of 1st mortgage",Housing Cost
MORTN2,"Federal government guarantor of 2nd mortgage",Housing Cost
MORTN3,"Federal government guarantor of 3rd mortgage",Housing Cost
MRTYP1,"Type of 1st mortgage",Housing Cost
MRTYP2,"Type of 2nd mortgage",Housing Cost
MRTYP3,"Type of 3rd mortgage",Housing Cost
MXDJTM,"1st mortgage # of times limited interest rate change where payment not fixed",Housing Cost
MXDJTM2,"2nd mortgage # of times limited interest rate change where payment not fixed",Housing Cost
MXDJTM3,"3rd mortgage # of times limited interest rate change where payment not fixed",Housing Cost
MXINTF,"1st mortgage highest interest rate allowed where payment not fixed – fraction",Housing Cost
MXINTF2,"2nd mortgage highest interest rate allowed where payment not fixed – fraction",Housing Cost
MXINTF3,"3rd mortgage highest interest rate allowed where payment not fixed – fraction",Housing Cost
MXINTR,"1st mortgage highest interest rate where mortgage payment not fixed",Housing Cost
MXINTR2,"2nd mortgage highest interest rate where mortgage payment not fixed",Housing Cost
MXINTR3,"3rd mortgage highest interest rate where mortgage payment not fixed",Housing Cost
MXINTW,"1st mortgage highest interest rate where payment not fixed – whole number",Housing Cost
MXINTW2,"2nd mortgage highest interest rate where payment not fixed – whole number",Housing Cost
MXINTW3,"3rd mortgage highest interest rate where payment not fixed – whole number",Housing Cost
NEWMOR,"1st mortgage new or assumed",Housing Cost
NEWMR2,"2nd mortgage new or assumed",Housing Cost
NEWMR3,"3rd mortgage new or assumed",Housing Cost
NUMMOR,"Number of mortgages including home equity loans",Housing Cost
ORINTF,"1st mortgage original interest rate where payment not fixed – fraction",Housing Cost
ORINTF2,"2nd mortgage original interest rate where payment not fixed – fraction",Housing Cost
ORINTF3,"3rd mortgage original interest rate where payment not fixed – fraction",Housing Cost
ORINTR,"1st mortgage original interest rate where mortgage payment not fixed",Housing Cost
ORINTR2,"2nd mortgage original interest rate where mortgage payment not fixed",Housing Cost
ORINTR3,"3rd mortgage original interest rate where mortgage payment not fixed",Housing Cost
ORINTW,"1st mortgage original interest rate where payment not fixed – whole number",Housing Cost
ORINTW2,"2nd mortgage original interest rate where payment not fixed – whole number",Housing Cost
ORINTW3,"3rd mortgage original interest rate where payment not fixed – whole number",Housing Cost
OTHPMT,"Other charges included in 1st mortgage payment",Housing Cost
OTHREF,"1st mortgage refinanced for other reason",Housing Cost
OTPMT2,"Other charges included in 2nd mortgage payment",Housing Cost
OTPMT3,"Other charges included in 3rd mortgage payment",Housing Cost
OTREF2,"2nd mortgage refinanced for other reason",Housing Cost
OTREF3,"3rd mortgage refinanced for other reason",Housing Cost
OTRPM,"1st mortgage payment changed because of something else",Housing Cost
OTRPM2,"2nd mortgage payment changed because of something else",Housing Cost
OTRPM3,"3rd mortgage payment changed because of something else",Housing Cost
PERUS1,"Percentage of 1st mortgage loan used for purchase of the home",Housing Cost
PERUS2,"Percentage of 2nd mortgage loan used for purchase of the home",Housing Cost
PERUS3,"Percentage of 3rd mortgage loan used for purchase of the home",Housing Cost
PINCO2,"2nd mortgage covers other units",Housing Cost
PINCOP,"1st mortgage covers other units",Housing Cost
PMAMT2,"Amount of private mortgage insurance included in 2nd mortgage",Housing Cost
PMAMT3,"Amount of private mortgage insurance included in 3rd mortgage",Housing Cost
PMIAMT,"Amount of private mortgage insurance included in 1st mortgage",Housing Cost
PMIPMT,"1st mortgage payments include private mortgage insurance",Housing Cost
PMPMT2,"2nd mortgage payments include private mortgage insurance",Housing Cost
PMPMT3,"3rd mortgage payments include private mortgage insurance",Housing Cost
PMT,"Monthly payment for 1st mortgage",Housing Cost
PMT2,"Monthly payment for 2nd mortgage",Housing Cost
PMT3,"Monthly payment for 3rd mortgage",Housing Cost
PMT4,"Monthly payment for 4th-and-more mortgage",Housing Cost
PMTINC,"1st mortgage payment increased or decreased",Housing Cost
PMTINC2,"2nd mortgage payment increased or decreased",Housing Cost
PMTINC3,"3rd mortgage payment increased or decreased",Housing Cost
POOR,"Household income as percent of poverty line (rounded)",Housing Cost
PRENT,"Amount of rent actually paid",Housing Cost
PRIN01,"Monthly payment for principal and interest",Housing Cost
PRIPMT,"Principal included in payment of 1st mortgage",Housing Cost
PRIPMT2,"Principal included in payment of 2nd mortgage",Housing Cost
PRIPMT3,"Principal included in payment of 3rd mortgage",Housing Cost
PROJ,"Building owned by public housing authority",Housing Cost
PTCHAM,"1st mortgage payment change amount",Housing Cost
PTCHAM2,"2nd mortgage payment change amount",Housing Cost
PTCHAM3,"3rd mortgage payment change amount",Housing Cost
PTCHYR,"1st mortgage payment changed in the past year",Housing Cost
PTCHYR2,"2nd mortgage payment changed in the past year",Housing Cost
PTCHYR3,"3rd mortgage payment changed in the past year",Housing Cost
PVALUE,"Current value of unit",Housing Cost
RAM,"Has reserve annuity or home equity conversion mortgage",Housing Cost
RAMAP,"Applied for reverse annuity mortgage",Housing Cost
RAMORT,"Heard of reverse annuity mortgage",Housing Cost
RATEPM,"1st mortgage payment changed from non-ARM to ARM, or vice versa",Housing Cost
RATEPM2,"2nd mortgage payment changed from non-ARM to ARM, or vice versa",Housing Cost
RATEPM3,"3rd mortgage payment changed from non-ARM to ARM, or vice versa",Housing Cost
RCNTRL,"Rent limited by rent control/stabilization",Housing Cost
REDMO2,"Refinanced to reduce monthly payment of 2nd loan",Housing Cost
REDMO3,"Refinanced to reduce monthly payment of 3rd loan",Housing Cost
REDMON,"Refinanced to reduce monthly payment of 1st loan",Housing Cost
REDPA2,"Refinanced to reduce repayment period of 2nd loan",Housing Cost
REDPA3,"Refinanced to reduce repayment period of 3rd loan",Housing Cost
REDPAY,"Refinanced to reduce repayment period of 1st loan",Housing Cost
REFI,"Mortgage a refinancing of previous mortgage",Housing Cost
REFI2,"Mortgage a refinancing of previous mortgage",Housing Cost
REFI3,"Mortgage a refinancing of previous mortgage",Housing Cost
REGMOR,"Number of regular mortgages on unit Housing Cost RENEW Income info required for lease renewal",Housing Cost
RENT,"Amount reported for payment period in FRENT",Housing Cost
RESMOR,"Amount of 1st mortgage applies only to unit",Housing Cost
RESMR2,"Amount of 2nd mortgage applies only to unit",Housing Cost
RNTADJ,"Rent adjusted because relationship w/ owner",Housing Cost
SELL,"Borrowed 1st mortgage from former owner",Housing Cost
SELL2,"Borrowed 2nd mortgage from former owner",Housing Cost
SELL3,"Borrowed 3rd mortgage from former owner",Housing Cost
SHOCK,"1st mortgage payment change increase difficult to afford",Housing Cost
SHOCK2,"2nd mortgage payment change increase difficult to afford",Housing Cost
SHOCK3,"3rd mortgage payment change increase difficult to afford",Housing Cost
SUBMOR,"Government program provides 1st mortgage",Housing Cost
SUBMR2,"Government program provides 2nd mortgage",Housing Cost
SUBMR3,"Government program provides 3rd mortgage",Housing Cost
SUBMR4,"Government program provides 4th-and-more mortgage",Housing Cost
TADJ,"Purchase price changed due to inspection/test",Housing Cost
TAXPMT,"Property taxes included in 1st mortgage",Housing Cost
TERM,"Term of 1st mortgage",Housing Cost
TERM2,"Term of 2nd mortgage",Housing Cost
TERM3,"Term of 3rd mortgage",Housing Cost
TIMBOM,"1st mortgage changes due to “payment option”",Housing Cost
TIMBOM2,"2nd mortgage changes due to “payment option”",Housing Cost
TIMBOM3,"3rd mortgage changes due to “payment option”",Housing Cost
TXPMT2,"Property taxes included in 2nd mortgage",Housing Cost
TXPMT3,"Property taxes included in 3rd mortgage",Housing Cost
TXRE,"Received real estate property tax rebate",Housing Cost
UNPBAL,"Amount currently owed on 1st mortgage",Housing Cost
UNPBAL2,"Amount currently owed on 2nd mortgage",Housing Cost
UNPBAL3,"Amount currently owed on 3rd mortgage",Housing Cost
UNPBAL4,"Amount currently owed on 4th-and-more mortgage",Housing Cost
VALUE,"Current market value of unit",Housing Cost
VARM,"1st mortgage changes for other reason",Housing Cost
VARM2,"2nd mortgage changes for other reason",Housing Cost
VARM3,"3rd mortgage changes for other reason",Housing Cost
VARY,"1st mortgage payments change",Housing Cost
VARY2,"2nd mortgage payments change",Housing Cost
VARY3,"3rd mortgage payments change",Housing Cost
VCHRMOV,"Can use voucher to move to another location",Housing Cost
YRMOR,"Year 1st mortgage obtained",Housing Cost
YRMOR2,"Year 2nd mortgage obtained",Housing Cost
YRMOR3,"Year 3rd mortgage obtained",Housing Cost
ZSMHC,"Monthly housing costs",Housing Cost
AGE,"Age of person",Household Composition
APPLY,"Assigned to unit or chose it",Household Composition
CITSHP,"U.S. Citizenship",Household Composition
CUSHOM,"How owner obtained unit",Household Composition
DLINE1,"Line Number of respondent",Household Composition
ELDER,"Number of persons living in household 65 years or older",Household Composition
FAMNUM,"Family number",Household Composition
FAMREL,"Family relationship",Household Composition
FAMTYP,"Family type",Household Composition
FRSTHO,"Ever owned home before",Household Composition
GRAD,"Educational level of person",Household Composition
HCARE,"Household has a member with self-care disability (recode)",Household Composition
HDSB,"Household has a disabled person (recode)",Household Composition
HERE,"Nonrelative is present",Household Composition
HERRND,"Household has a member with go-outside-home disability (recode)",Household Composition
HHAGE,"Age of householder",Household Composition
HHCITSHP,"US Citizenship of householder",Household Composition
HHEAR,"Household has a member with hearing disability (recode)",Household Composition
HHGRAD,"Education level of householder",Household Composition
HHINUSYR,"Year householder came to US",Household Composition
HHKIDU18,"Number of householder’s children under 18 years",Household Composition
HHLDKID,"Number of householder’s children (any age)",Household Composition
HHMAR,"Marital status of householder",Household Composition
HHNATVTY,"Country of birth of householder",Household Composition
HHPAR,"Line number of parent of householder",Household Composition
HHPCARE,"Householder has difficulty dressing or bathing",Household Composition
HHPERRND,"Householder has difficulty doing errands",Household Composition
HHPHEAR,"Householder has difficulty hearing",Household Composition
HHPLINE,"Line number of householder",Household Composition
HHPMEMRY,"Householder has difficulty concentrating or remembering",Household Composition
HHPSEE,"Householder has difficulty seeing",Household Composition
HHPWALK,"Householder has difficulty walking or climbing stairs",Household Composition
HHRACE,"Race of householder",Household Composition
HHREL,"Relationship of householder to household",Household Composition
HHSEX,"Sex of householder",Household Composition
HHSPAN,"Spanish origin of householder",Household Composition
HHSPOS,"Line number of spouse of householder",Household Composition
HHTEN,"Householder is owner/renter of unit",Household Composition
HHWLINEQ,"Householder worked at all last week",Household Composition
HMEMRY,"Household has a member with memory disability (recode)",Household Composition
HSEE,"Household has a member with seeing disability (recode)",Household Composition
HWALK,"Household has a member with walking disability (recode)",Household Composition
INUSYR,"Year came to U.S.",Household Composition
KIDU18,"Number of persons living in household 17 years or younger",Household Composition
LANG,"Language of interview",Household Composition
LIVEAT,"Everyone in household lives or eats together",Household Composition
LONGIT,"Characteristics of household in 70/80/90",Household Composition
MAR,"Marital status of person",Household Composition
MOVEDLY,"Householder moved in last year",Household Composition
NATVTY,"Country of birth",Household Composition
NONREL,"Number of non-relatives in household",Household Composition
NOSTEP,"Entrance accessible w/o steps or stairs",Household Composition
NROWNR,"Ownership shared w/ person not living here",Household Composition
NRPAYM,"Person not living here help pay mortgage/util",Household Composition
PAR,"Line number of parent of person",Household Composition
PCARE,"Has self-care disability",Household Composition
PER,"Number of persons in household",Household Composition
PERRND,"Has go-outside-home disability",Household Composition
PERSINT,"Personal/telephone interview",Household Composition
PERSON,"Line number of person",Household Composition
PHEAR,"Has hearing disability",Household Composition
PLINE,"Line number of person",Household Composition
PMEMRY,"Has memory disability",Household Composition
PSEE,"Has seeing disability",Household Composition
PWALK,"Has walking disability",Household Composition
RACE,"Race of person",Household Composition
REL,"Relationship of person to reference person",Household Composition
REMP,"Employed by household",Household Composition
RESPTYP,"Type of respondent",Household Composition
SAMEHH,"Same household members live in unit",Household Composition
SAMEHH2,"Same household members live in unit (recode)",Household Composition
SCHHO,"Children in household schooled at home",Household Composition
SCHNO,"Nobody in household attends school",Household Composition
SCHOTH,"Someone in household attends other type of school",Household Composition
SCHPRI,"Someone in household attends private school",Household Composition
SCHPUB,"Someone in household attends public school",Household Composition
SEX,"Sex of person",Household Composition
SNITEV,"Number of nights owner spends at vacant/URE unit",Household Composition
SPAN,"Spanish origin of person",Household Composition
SPOS,"Line number of spouse of person",Household Composition
STATUS,"Interview status",Household Composition
TEN,"This person is owner/renter of unit",Household Composition
WHDY,"Number of days worked at home",Household Composition
WHHRB,"# hours worked at home (self-employed)",Household Composition
WHHRW,"# hours worked at home (wage & salary)",Household Composition
WHOME,"Work at home for employer",Household Composition
WINUS,"Place of work outside the U.S.",Household Composition
WLINEQ,"Work at all last week",Household Composition
ZADULT,"Number of adults 18+ in household",Household Composition
ZMVGRP,"Total Number of mover groups in the household",Household Composition
CROPSL,"Receive farm income",Income
FOOD,"Meals included in rent paid to household",Income
HHFOOD,"Lodger contributes to household for food",Income
HHMORT,"Lodger contributes to household for mortgage/rent",Income
HHOTH,"Lodger contributes to household for other costs",Income
HHPQALIM,"Householder received alimony or child support",Income
HHPQDIV,"Householder received dividends from stocks",Income
HHPQINT,"Householder received interest from saving, cd, etc.",Income
HHPQOTHER,"Householder received unemployment/vet payments/other income",Income
HHPQRENT,"Householder received rental income",Income
HHPQRETIR,"Householder received retirement or survivor pension",Income
HHPQSAL,"Householder has wages/salary",Income
HHPQSELF,"Householder received self-employment income",Income
HHPQSS,"Householder received social security or pension",Income
HHPQSSI,"Householder received supplemental security income",Income
HHPQWELF,"Householder received AFDC, TANF or other public assistance",Income
HHPQWKCMP,"Householder received workers compensation or other disability payments",Income
HHPVOTHER,"Sum of householder’s other income",Income
HHSAL,"Wage and salary income of householder",Income
HHUTFU,"Lodger contributes to household for utilities",Income
INV20K,"Total savings/investments over $25,000",Income
LODG,"Rent paid by lodgers (rounded)",Income
LODRNT,"Amount lodger pays to household",Income
LODSTA,"Lodger pays fixed amount to household",Income
LT25K,"Income in last 12 months over $25,000",Income
OTHEST,"Anyone home who can estimate nonrelative income",Income
PQALIM,"Person has alimony or child support income",Income
PQDIV,"Person has dividends",Income
PQIDRI,"Received interest, dividends, royalty income",Income
PQINT,"Person has interest income",Income
PQOTALM,"Received VA/unemployment/child support/alimony/other income",Income
PQOTHER,"Person has unempl/workers comp/VA/other pay",Income
PQOTHNR,"Other income received by nonrelative",Income
PQRENT,"Person has rental income",Income
PQRETIR,"Received retirement or survivor pension",Income
PQSAL,"Wages/salary received by reference person/relative",Income
PQSALNR,"Salary received by nonrelative",Income
PQSELF,"Received self-employment income",Income
PQSELFNR,"Received self-employment income by nonrelative",Income
PQSS,"Received Social Security or Railroad Retirement pension",Income
PQSSI,"Received Supplemental Security Income",Income
PQWELF,"Received AFDC, TANF or other public assistance or welfare program payments",Income
PQWKCMP,"Received SSDI, work. comp., vet. or other disability payments",Income
PVOTHER,"Sum of a person’s other income",Income
QALIM,"Received alimony or child support",Income
QBINV,"Household has farm or business investments",Income
QBUS,"Received income from business/farm/ranch",Income
QDIV,"Received dividends from stock",Income
QFS1,"Received food stamps in last 12 months",Income
QIDRI,"Received interest/rental/royalty/estate income",Income
QINT,"Received interest from savings, cd, etc",Income
QMEN,"Any income not already mentioned",Income
QOINV,"Household has other investments",Income
QOTALM,"Received VA/unemploy/child support/alimony/other income",Income
QOTHER,"Received unemployment/vet payments/other inc",Income
QRENT,"Received rental income",Income
QRETIR,"Received retirement or survivor pension",Income
QSAVNG,"Household has savings",Income
QSELF,"Received self-employment income",Income
QSS,"Received social security or pension",Income
QSSI,"Received supplemental security income",Income
QWELF,"Received AFDC, TANF or other public assistance or welfare program payments",Income
QWKCMP,"Received workers compensation or other disability payments",Income
RCARP,"Receive help w/ transportation expenses",Income
RCLOT,"Receive help with clothing expenses",Income
RCOST,"Receive help with rent payments",Income
REPHA,"Report income to public housing authority",Income
RGROC,"Receive help with grocery bills",Income
RKIDC,"Receive help with child care payments",Income
RMEDI,"Receive help with medical bills",Income
RNTDUE,"Frequency of lodger’s rent payment to household",Income
ROTHE,"Received other assistance making ends meet",Income
RUTIL,"Receive help with utility bills",Income
SAL,"Wage & salary income of person",Income
SUBRNT,"Government subsidizes rent for unit",Income
SUBRNT1,"Government subsidizes rent for unit",Income
SUBRNT2,"Government subsidizes rent for unit",Income
VCHER,"Received voucher to help pay rent",Income
VOTHER,"Total amount of other family income",Income
VOTHER2,"Total amount of other household income",Income
ZINC,"Family income",Income
ZINC2,"Household Income",Income
ZINCH,"This month’s income same as 1 year ago",Income
ZINCN,"Expected income in next 12 months",Income
