PlayerName,Salary
Gary Neal,3250000
Reggie Evans,1768653
DeJuan Blair,2000000
Nicolas Batum,11765500
Thomas Robinson,3678360
Jeff Green,9445000
Lucas Nogueira,1762680
Aaron Brooks,1145685
Chris Bosh,20644400
Joey Dorsey,948163
Michael Kidd-Gilchrist,5016960
Arron Afflalo,7750000
Bryce Cotton,92514
Tristan Thompson,5138430
Nik Stauskas,2745840
Chase Budinger,5000000
Drew Gordon,507336
Jodie Meeks,6000000
Ersan Ilyasova,7900000
Zoran Dragic,1962103
Cameron Bairstow,507336
Ray McCallum,816482
Jarnell Stokes,725000
Danilo Gallinari,10854850
Quincy Miller,183049
Chuck Hayes,5958750
Henry Walker,196217
Jeff Teague,8000000
Jason Terry,5850313
Eric Gordon,14898938
Kyle O'Quinn,915243
Darrell Arthur,3457149
Jason Smith,3278000
Brandon Jennings,8000000
Jorge Gutierrez,48028
Quincy Acy,915243
Jared Dudley,4250000
J.J. Hickson,5381750
Perry Jones,1129200
Pablo Prigioni,1662961
Josh McRoberts,5305000
Grant Jerrett,816481
Wilson Chandler,6757913
A.J. Price,62552