Date,Home Team,Away Team,Home Points,Away Points,Outcome,Spread
1/16/2015,Utah,L.A. Lakers ,94,85,-9,-8.0
3/20/2015,Dallas,Memphis ,101,112,11,-3.0
3/4/2015,Houston,Memphis ,100,102,2,-3.0
11/17/2014,Brooklyn,Miami ,83,95,12,-8.0
2/27/2015,New Orleans,Miami ,104,102,-2,2.0
1/8/2015,Portland,Miami ,99,83,-16,-8.5
4/13/2015,Philadelphia,Milwaukee ,97,107,10,3.5
4/13/2015,Atlanta,New York ,108,112,4,-14.0
2/6/2015,Brooklyn,New York ,92,88,-4,-6.5
3/15/2015,Phoenix,New York ,102,89,-13,-11.5
1/28/2015,New York,Oklahoma City ,100,92,-8,8.0
12/6/2014,Sacramento,Orlando ,96,105,9,-6.0
11/17/2014,San Antonio,Philadelphia ,100,75,-25,-16.5
11/22/2014,Indiana,Phoenix ,83,106,23,2.0
1/22/2015,Chicago,San Antonio ,104,81,-23,5.5
11/15/2014,Sacramento,San Antonio ,94,91,-3,1.5
2/4/2015,Atlanta,Washington ,105,96,-9,-5.5
1/14/2015,Chicago,Washington ,99,105,6,-5.5
2/11/2015,Toronto,Washington ,95,93,-2,-5.0
12/30/2014,Chicago,Brooklyn ,82,96,14,-10.0
12/8/2014,Brooklyn,Cleveland ,88,110,22,8.0
3/22/2015,Boston,Detroit ,97,105,8,-5.5
4/1/2015,Charlotte,Detroit ,102,78,-24,-5.5
4/3/2015,Chicago,Detroit ,88,82,-6,-9.5
12/2/2014,Phoenix,Indiana ,116,99,-17,-5.0
3/6/2015,Memphis,L.A. Lakers ,97,90,-7,-11.0
12/21/2014,Cleveland,Memphis ,105,91,-14,-4.5
4/13/2015,Golden State,Memphis ,111,107,-4,-8.0
4/2/2015,Cleveland,Miami ,114,88,-26,-9.5
3/3/2015,Denver,Milwaukee ,106,95,-11,5.5
3/19/2015,New York,Minnesota ,92,95,3,-2.0
4/1/2015,L.A. Lakers,New Orleans ,92,113,21,9.5
1/23/2015,Minnesota,New Orleans ,84,92,8,6.5
12/21/2014,Toronto,New York ,118,108,-10,-12.5
12/25/2014,San Antonio,Oklahoma City ,106,114,8,-6.0
2/10/2015,Chicago,Sacramento ,104,86,-18,-11.0
11/6/2014,Houston,San Antonio ,98,81,-17,-6.5
4/1/2015,Orlando,San Antonio ,91,103,12,10.0
1/21/2015,Cleveland,Utah ,106,92,-14,-9.5
2/8/2015,Memphis,Atlanta ,94,88,-6,-2.5
2/28/2015,Miami,Atlanta ,91,93,2,2.0
1/9/2015,Indiana,Boston ,107,103,-4,-6.0
3/14/2015,Philadelphia,Brooklyn ,87,94,7,6.5
1/21/2015,Sacramento,Brooklyn ,100,103,3,-5.5
12/15/2014,Cleveland,Charlotte ,97,88,-9,-10.5
2/22/2015,Dallas,Charlotte ,92,81,-11,-9.5
12/31/2014,Houston,Charlotte ,102,83,-19,-11.5
12/23/2014,Milwaukee,Charlotte ,101,108,7,-5.5
1/8/2015,Toronto,Charlotte ,95,103,8,-12.5
3/25/2015,Toronto,Chicago ,103,116,13,3.0
4/12/2015,Boston,Cleveland ,117,78,-39,-10.0
3/29/2015,Indiana,Dallas ,104,99,-5,-2.0
1/29/2015,Memphis,Denver ,99,69,-30,-9.5
2/20/2015,Milwaukee,Denver ,89,81,-8,-8.5
1/16/2015,Indiana,Detroit ,96,98,2,-1.0
11/23/2014,Oklahoma City,Golden State ,86,91,5,8.0
3/25/2015,New York,L.A. Clippers ,80,111,31,15.0
1/7/2015,Atlanta,Memphis ,96,86,-10,-4.5
4/11/2015,L.A. Clippers,Memphis ,94,86,-8,-9.5
11/1/2014,Washington,Milwaukee ,108,97,-11,-9.0
10/29/2014,Memphis,Minnesota ,105,101,-4,-7.5
3/29/2015,New Orleans,Minnesota ,110,88,-22,-13.0
3/2/2015,Dallas,New Orleans ,102,93,-9,-8.0
4/11/2015,Orlando,New York ,79,80,1,-11.0
11/12/2014,Boston,Oklahoma City ,94,109,15,-7.5
1/31/2015,Memphis,Oklahoma City ,85,74,-11,-4.0
12/2/2014,New Orleans,Oklahoma City ,112,104,-8,3.5
12/27/2014,Utah,Philadelphia ,88,71,-17,-10.0
12/12/2014,Chicago,Portland ,115,106,-9,-2.5
12/19/2014,San Antonio,Portland ,119,129,10,-4.5
1/30/2015,Brooklyn,Toronto ,122,127,5,7.5
4/11/2015,Miami,Toronto ,104,107,3,-3.5
11/2/2014,Miami,Toronto ,107,102,-5,-2.0
1/19/2015,Milwaukee,Toronto ,89,92,3,-1.5
12/16/2014,New Orleans,Utah ,119,111,-8,-10.0
12/8/2014,Sacramento,Utah ,101,92,-9,-5.0
11/10/2014,New York,Atlanta ,85,91,6,2.0
3/8/2015,Orlando,Boston ,103,98,-5,2.5
3/25/2015,Charlotte,Brooklyn ,88,91,3,-3.5
3/16/2015,Minnesota,Brooklyn ,106,122,16,4.5
11/29/2014,Atlanta,Charlotte ,105,75,-30,-7.0
12/26/2014,Oklahoma City,Charlotte ,98,75,-23,-6.5
2/8/2015,Orlando,Chicago ,97,98,1,6.5
12/23/2014,Washington,Chicago ,91,99,8,-2.5
2/12/2015,Chicago,Cleveland ,113,98,-15,2.0
2/22/2015,New York,Cleveland ,83,101,18,16.5
11/21/2014,Atlanta,Detroit ,99,89,-10,-6.0
3/27/2015,Orlando,Detroit ,97,111,14,2.5
12/30/2014,Orlando,Detroit ,86,109,23,1.5
11/24/2014,Dallas,Indiana ,100,111,11,-14.0
3/1/2015,Chicago,L.A. Clippers ,86,96,10,2.0
11/20/2014,Miami,L.A. Clippers ,93,110,17,4.0
11/11/2014,Memphis,L.A. Lakers ,107,102,-5,-10.0
1/23/2015,San Antonio,L.A. Lakers ,99,85,-14,-14.0
1/13/2015,L.A. Lakers,Miami ,75,78,3,2.5
3/1/2015,Denver,New Orleans ,92,99,7,4.5
2/25/2015,Boston,New York ,115,94,-21,-10.5
2/21/2015,Charlotte,Oklahoma City ,103,110,7,4.0
12/9/2014,Detroit,Portland ,86,98,12,7.5
1/17/2015,Memphis,Portland ,102,98,-4,-2.5
1/31/2015,Milwaukee,Portland ,95,88,-7,2.0
11/12/2014,Atlanta,Utah ,100,97,-3,-7.0
1/9/2015,Oklahoma City,Utah ,99,94,-5,-11.5
4/15/2015,Chicago,Atlanta ,91,85,-6,-5.5
12/20/2014,Houston,Atlanta ,97,104,7,-5.0
4/15/2015,Milwaukee,Boston ,100,105,5,-6.0
12/23/2014,Orlando,Boston ,100,95,-5,-2.0
12/19/2014,Cleveland,Brooklyn ,95,91,-4,-10.5
12/4/2014,New York,Cleveland ,87,90,3,7.5
3/5/2015,Portland,Dallas ,94,75,-19,-3.0
12/11/2014,Sacramento,Houston ,109,113,4,1.0
11/26/2014,Detroit,L.A. Clippers ,98,104,6,8.5
11/23/2014,Memphis,L.A. Clippers ,107,91,-16,-2.0
3/29/2015,Brooklyn,L.A. Lakers ,107,99,-8,-8.0
12/15/2014,Indiana,L.A. Lakers ,110,91,-19,-5.0
2/6/2015,Minnesota,Memphis ,90,89,-1,8.5
1/3/2015,Houston,Miami ,115,79,-36,-6.5
4/13/2015,Minnesota,New Orleans ,88,100,12,14.0
4/13/2015,Miami,Orlando ,100,93,-7,-6.0
12/15/2014,Toronto,Orlando ,95,82,-13,-6.5
11/11/2014,Toronto,Orlando ,104,100,-4,-10.5
12/26/2014,Portland,Philadelphia ,114,93,-21,-12.5
12/22/2014,Houston,Portland ,110,95,-15,-5.0
3/7/2015,Minnesota,Portland ,121,113,-8,5.0
1/16/2015,San Antonio,Portland ,110,96,-14,-4.5
3/16/2015,Washington,Portland ,105,97,-8,-1.0
12/3/2014,Brooklyn,San Antonio ,95,93,-2,8.5
11/11/2014,Golden State,San Antonio ,100,113,13,-8.5
3/20/2015,Chicago,Toronto ,108,92,-16,-1.5
12/19/2014,Detroit,Toronto ,100,110,10,7.0
3/16/2015,Indiana,Toronto ,98,117,19,-5.0
1/3/2015,Minnesota,Utah ,89,101,12,-1.5
4/10/2015,Brooklyn,Washington ,117,80,-37,-5.0
3/15/2015,L.A. Lakers,Atlanta ,86,91,5,9.0
3/9/2015,Miami,Boston ,90,100,10,-2.5
12/21/2014,Miami,Boston ,100,84,-16,3.0
12/17/2014,Toronto,Brooklyn ,105,89,-16,-12.5
1/5/2015,Boston,Charlotte ,95,104,9,-5.5
3/22/2015,Minnesota,Charlotte ,98,109,11,5.5
4/13/2015,Brooklyn,Chicago ,86,113,27,2.0
2/20/2015,Washington,Cleveland ,89,127,38,3.0
11/14/2014,Indiana,Denver ,87,108,21,-2.5
3/27/2015,Memphis,Golden State ,84,107,23,3.5
1/7/2015,Cleveland,Houston ,93,105,12,6.0
2/27/2015,Memphis,L.A. Clippers ,79,97,18,-4.5
2/8/2015,Cleveland,L.A. Lakers ,120,105,-15,-14.0
1/9/2015,New Orleans,Memphis ,106,95,-11,-1.0
3/25/2015,Boston,Miami ,86,93,7,-8.5
11/19/2014,Brooklyn,Milwaukee ,118,122,4,-6.5
12/29/2014,Charlotte,Milwaukee ,94,104,10,-3.0
2/6/2015,Houston,Milwaukee ,117,111,-6,-5.5
3/19/2015,Phoenix,New Orleans ,74,72,-2,0.0
11/29/2014,Washington,New Orleans ,83,80,-3,-4.0
3/1/2015,L.A. Lakers,Oklahoma City ,101,108,7,4.0
10/29/2014,Portland,Oklahoma City ,106,89,-17,-9.0
11/9/2014,Brooklyn,Orlando ,104,96,-8,-8.5
1/9/2015,L.A. Lakers,Orlando ,101,84,-17,-1.5
11/22/2014,New York,Philadelphia ,91,83,-8,-11.0
11/24/2014,Philadelphia,Portland ,104,114,10,13.0
10/31/2014,Sacramento,Portland ,103,94,-9,4.5
2/11/2015,Milwaukee,Sacramento ,111,103,-8,-10.0
3/31/2015,Detroit,Atlanta ,105,95,-10,2.0
10/29/2014,Toronto,Atlanta ,109,102,-7,-4.5
1/7/2015,Brooklyn,Boston ,81,89,8,-5.0
1/28/2015,Minnesota,Boston ,110,98,-12,4.0
11/17/2014,L.A. Clippers,Chicago ,89,105,16,-7.0
4/8/2015,Milwaukee,Cleveland ,99,104,5,6.5
11/17/2014,Charlotte,Dallas ,80,107,27,4.0
1/25/2015,New Orleans,Dallas ,109,106,-3,3.5
3/3/2015,Atlanta,Houston ,104,96,-8,-8.5
1/5/2015,Chicago,Houston ,114,105,-9,-3.0
11/24/2014,Charlotte,L.A. Clippers ,92,113,21,4.0
1/28/2015,Utah,L.A. Clippers ,89,94,5,6.5
1/27/2015,Dallas,Memphis ,90,109,19,-6.0
1/11/2015,L.A. Clippers,Miami ,90,104,14,-10.0
2/25/2015,Orlando,Miami ,90,93,3,3.5
4/12/2015,Houston,New Orleans ,121,114,-7,-5.0
2/6/2015,Oklahoma City,New Orleans ,113,116,3,-6.0
12/31/2014,San Antonio,New Orleans ,95,93,-2,-4.5
11/22/2014,Utah,New Orleans ,94,106,12,2.5
1/15/2015,Milwaukee,New York ,95,79,-16,-7.5
3/5/2015,Chicago,Oklahoma City ,108,105,-3,1.0
11/19/2014,Denver,Oklahoma City ,107,100,-7,-7.0
3/30/2015,Portland,Phoenix ,109,86,-23,-8.5
3/30/2015,Memphis,Sacramento ,97,83,-14,-10.5
1/10/2015,Minnesota,San Antonio ,93,108,15,10.0
4/8/2015,Charlotte,Toronto ,74,92,18,3.5
12/3/2014,Miami,Atlanta ,102,112,10,-4.5
11/21/2014,Memphis,Boston ,117,100,-17,-6.5
3/6/2015,New Orleans,Boston ,98,104,6,-7.0
11/26/2014,Philadelphia,Brooklyn ,91,99,8,7.0
1/25/2015,Toronto,Detroit ,114,110,-4,-8.0
12/28/2014,San Antonio,Houston ,110,106,-4,-1.5
12/10/2014,Indiana,L.A. Clippers ,96,103,7,6.5
1/30/2015,New Orleans,L.A. Clippers ,108,103,-5,7.5
2/25/2015,Sacramento,Memphis ,102,90,-12,6.5
12/5/2014,Philadelphia,Oklahoma City ,91,103,12,13.5
3/28/2015,Utah,Oklahoma City ,94,89,-5,6.0
12/20/2014,New York,Phoenix ,90,99,9,6.0
4/12/2015,San Antonio,Phoenix ,107,91,-16,-17.0
1/31/2015,Indiana,Sacramento ,94,99,5,-5.5
11/25/2014,New Orleans,Sacramento ,89,99,10,-6.5
3/25/2015,Orlando,Atlanta ,83,95,12,9.0
11/14/2014,Phoenix,Charlotte ,95,103,8,-6.5
3/15/2015,Orlando,Cleveland ,108,123,15,10.5
12/23/2014,Brooklyn,Denver ,102,96,-6,-4.0
11/3/2014,Philadelphia,Houston ,93,104,11,11.5
3/31/2015,Brooklyn,Indiana ,111,106,-5,1.0
12/20/2014,Denver,Indiana ,76,73,-3,-3.0
11/21/2014,Toronto,Milwaukee ,124,82,-42,-8.5
3/22/2015,L.A. Clippers,New Orleans ,107,100,-7,-9.5
3/14/2015,Golden State,New York ,125,94,-31,-19.5
12/17/2014,Boston,Orlando ,109,92,-17,-3.5
11/24/2014,Cleveland,Orlando ,106,74,-32,-11.0
3/29/2015,Cleveland,Philadelphia ,87,86,-1,-17.0
3/20/2015,Orlando,Portland ,111,104,-7,8.5
11/19/2014,Cleveland,San Antonio ,90,92,2,-1.5
12/29/2014,Houston,Washington ,103,104,1,-3.5
1/5/2015,New Orleans,Washington ,85,92,7,-3.0
11/25/2014,Washington,Atlanta ,102,106,4,-4.0
3/11/2015,Miami,Brooklyn ,104,98,-6,-4.0
12/22/2014,Charlotte,Denver ,110,82,-28,-2.5
1/6/2015,San Antonio,Detroit ,104,105,1,-8.0
1/14/2015,Orlando,Houston ,120,113,-7,9.5
4/1/2015,Boston,Indiana ,100,87,-13,-4.0
3/27/2015,Philadelphia,L.A. Clippers ,98,119,21,12.5
2/6/2015,Orlando,L.A. Lakers ,103,97,-6,-4.5
2/11/2015,Oklahoma City,Memphis ,105,89,-16,-4.5
12/18/2014,Houston,New Orleans ,90,99,9,-4.5
1/20/2015,Miami,Oklahoma City ,86,94,8,7.5
4/7/2015,Atlanta,Phoenix ,96,69,-27,-7.0
12/22/2014,Chicago,Toronto ,129,120,-9,-4.0
12/14/2014,New York,Toronto ,90,95,5,6.5
2/11/2015,Dallas,Utah ,87,82,-5,-5.0
2/11/2015,Boston,Atlanta ,89,88,-1,6.5
12/5/2014,Brooklyn,Atlanta ,75,98,23,1.0
1/17/2015,Chicago,Atlanta ,99,107,8,3.5
12/17/2014,Cleveland,Atlanta ,98,127,29,-6.5
12/26/2014,Boston,Brooklyn ,107,109,2,-2.0
2/28/2015,Dallas,Brooklyn ,94,104,10,-8.0
11/15/2014,Golden State,Charlotte ,112,87,-25,-11.0
3/17/2015,L.A. Clippers,Charlotte ,99,92,-7,-10.0
1/16/2015,Boston,Chicago ,103,119,16,5.0
3/10/2015,Dallas,Cleveland ,94,127,33,4.0
11/28/2014,Charlotte,Golden State ,101,106,5,8.5
4/13/2015,Charlotte,Houston ,90,100,10,11.5
3/20/2015,Cleveland,Indiana ,95,92,-3,-10.5
11/28/2014,Houston,L.A. Clippers ,85,102,17,4.5
1/14/2015,Golden State,Miami ,104,89,-15,-15.0
12/31/2014,Cleveland,Milwaukee ,80,96,16,1.0
12/9/2014,Oklahoma City,Milwaukee ,114,101,-13,-10.0
1/25/2015,Atlanta,Minnesota ,112,100,-12,-17.5
12/27/2014,Chicago,New Orleans ,107,100,-7,-10.0
12/21/2014,Oklahoma City,New Orleans ,99,101,2,-7.0
11/26/2014,Dallas,New York ,109,102,-7,-14.0
1/7/2015,Denver,Orlando ,93,90,-3,-7.0
2/4/2015,San Antonio,Orlando ,110,103,-7,-13.5
12/23/2014,Oklahoma City,Portland ,111,115,4,-4.5
3/27/2015,Phoenix,Portland ,81,87,6,1.0
3/6/2015,Orlando,Sacramento ,119,114,-5,3.0
3/22/2015,Atlanta,San Antonio ,95,114,19,-1.5
12/3/2014,Utah,Toronto ,104,123,19,3.5
11/26/2014,Cleveland,Washington ,113,87,-26,-7.5
2/25/2015,Minnesota,Washington ,97,77,-20,-2.5
11/5/2014,San Antonio,Atlanta ,94,92,-2,-8.0
12/12/2014,New Orleans,Cleveland ,119,114,-5,-1.5
10/29/2014,Utah,Houston ,93,104,11,3.0
3/4/2015,Miami,L.A. Lakers ,100,94,-6,-9.0
3/25/2015,Minnesota,L.A. Lakers ,99,101,2,-1.0
12/2/2014,Cleveland,Milwaukee ,111,108,-3,-10.5
3/20/2015,Golden State,New Orleans ,112,96,-16,-14.0
12/2/2014,Golden State,Orlando ,98,97,-1,-14.5
12/17/2014,Charlotte,Phoenix ,106,111,5,2.5
11/15/2014,Toronto,Utah ,111,93,-18,-11.5
3/20/2015,L.A. Clippers,Washington ,113,99,-14,-7.0
1/14/2015,Boston,Atlanta ,91,105,14,5.5
1/3/2015,Chicago,Boston ,109,104,-5,-10.0
4/8/2015,Detroit,Boston ,103,113,10,1.5
1/22/2015,L.A. Clippers,Brooklyn ,123,84,-39,-13.0
12/30/2014,Atlanta,Cleveland ,109,101,-8,-6.5
12/11/2014,Oklahoma City,Cleveland ,103,94,-9,-7.5
1/19/2015,Memphis,Dallas ,95,103,8,-3.5
2/10/2015,L.A. Lakers,Denver ,96,106,10,-1.0
12/3/2014,Boston,Detroit ,109,102,-7,-4.5
3/10/2015,L.A. Lakers,Detroit ,93,85,-8,3.5
11/30/2014,Detroit,Golden State ,93,104,11,8.5
1/13/2015,Utah,Golden State ,105,116,11,8.0
1/7/2015,Golden State,Indiana ,117,102,-15,-11.5
12/17/2014,L.A. Clippers,Indiana ,102,100,-2,-11.0
3/4/2015,Golden State,Milwaukee ,102,93,-9,-13.0
12/17/2014,Portland,Milwaukee ,104,97,-7,-10.0
4/10/2015,L.A. Lakers,Minnesota ,106,98,-8,-5.0
12/6/2014,San Antonio,Minnesota ,123,101,-22,-14.0
11/10/2014,Cleveland,New Orleans ,118,111,-7,-5.5
11/19/2014,Minnesota,New York ,115,99,-16,-1.0
12/3/2014,L.A. Clippers,Orlando ,114,86,-28,-15.0
12/10/2014,Atlanta,Philadelphia ,95,79,-16,-13.0
3/4/2015,Orlando,Phoenix ,100,105,5,4.5
3/18/2015,Miami,Portland ,108,104,-4,2.5
11/3/2014,Denver,Sacramento ,105,110,5,-6.5
3/3/2015,New York,Sacramento ,86,124,38,4.5
2/19/2015,L.A. Clippers,San Antonio ,119,115,-4,2.5
11/10/2014,L.A. Clippers,San Antonio ,85,89,4,-1.5
2/8/2015,Toronto,San Antonio ,87,82,-5,1.5
1/21/2015,Memphis,Toronto ,92,86,-6,-6.0
2/6/2015,Phoenix,Utah ,100,93,-7,-5.5
3/13/2015,Phoenix,Atlanta ,87,96,9,6.5
2/22/2015,L.A. Lakers,Boston ,118,111,-7,3.0
2/20/2015,Sacramento,Boston ,109,101,-8,-4.0
4/12/2015,Milwaukee,Brooklyn ,96,73,-23,-1.0
11/9/2014,L.A. Lakers,Charlotte ,107,92,-15,2.5
3/8/2015,L.A. Lakers,Dallas ,93,100,7,7.5
11/25/2014,Miami,Golden State ,97,114,17,7.5
3/23/2015,Indiana,Houston ,100,110,10,1.5
1/4/2015,L.A. Lakers,Indiana ,88,87,-1,-1.0
2/2/2015,Brooklyn,L.A. Clippers ,102,100,-2,8.5
1/3/2015,Denver,Memphis ,114,85,-29,-1.5
11/26/2014,L.A. Lakers,Memphis ,93,99,6,6.5
12/10/2014,Denver,Miami ,102,82,-20,-6.0
12/9/2014,Phoenix,Miami ,97,103,6,-4.5
12/30/2014,Utah,Minnesota ,100,94,-6,-7.0
12/27/2014,Sacramento,New York ,135,129,-6,-6.0
1/14/2015,Toronto,Philadelphia ,100,84,-16,-17.5
11/21/2014,Minnesota,San Antonio ,92,121,29,11.0
12/26/2014,New Orleans,San Antonio ,97,90,-7,-3.0
2/27/2015,Sacramento,San Antonio ,96,107,11,9.5
4/10/2015,Orlando,Toronto ,99,101,2,5.0
12/29/2014,L.A. Clippers,Utah ,101,97,-4,-12.0
1/23/2015,Denver,Boston ,99,100,1,-6.5
1/23/2015,Dallas,Chicago ,98,102,4,-6.0
3/16/2015,Miami,Cleveland ,106,92,-14,5.5
12/2/2014,Chicago,Dallas ,129,132,3,-1.0
4/12/2015,L.A. Lakers,Dallas ,106,120,14,5.0
12/9/2014,Memphis,Dallas ,114,105,-9,-3.0
11/1/2014,New Orleans,Dallas ,104,109,5,-1.0
12/16/2014,New York,Dallas ,87,107,20,7.5
11/29/2014,Philadelphia,Dallas ,103,110,7,12.5
10/28/2014,San Antonio,Dallas ,101,100,-1,-3.5
1/28/2015,New Orleans,Denver ,85,93,8,-6.0
11/26/2014,Orlando,Golden State ,96,111,15,8.0
3/25/2015,New Orleans,Houston ,93,95,2,-1.0
1/21/2015,New Orleans,L.A. Lakers ,96,80,-16,-7.0
2/23/2015,L.A. Clippers,Memphis ,87,90,3,-3.5
2/2/2015,Toronto,Milwaukee ,75,82,7,-6.0
1/9/2015,Milwaukee,Minnesota ,98,84,-14,-9.5
4/3/2015,Sacramento,New Orleans ,95,101,6,6.5
12/12/2014,Boston,New York ,95,101,6,-6.0
4/15/2015,Brooklyn,Orlando ,101,88,-13,-9.0
3/4/2015,Oklahoma City,Philadelphia ,123,118,-5,-15.0
1/28/2015,Cleveland,Portland ,99,94,-5,-2.5
12/14/2014,Denver,San Antonio ,91,99,8,5.0
10/30/2014,Dallas,Utah ,120,102,-18,-10.5
12/27/2014,Milwaukee,Atlanta ,85,90,5,4.5
3/23/2015,Brooklyn,Boston ,91,110,19,-5.0
1/22/2015,Portland,Boston ,89,90,1,-7.0
2/4/2015,Toronto,Brooklyn ,93,109,16,-7.5
2/4/2015,Boston,Denver ,104,100,-4,-3.5
11/16/2014,New York,Denver ,109,93,-16,-1.5
1/19/2015,Atlanta,Detroit ,93,82,-11,-7.5
2/7/2015,New York,Golden State ,92,106,14,15.0
2/24/2015,Washington,Golden State ,107,114,7,6.5
12/22/2014,San Antonio,L.A. Clippers ,125,118,-7,-1.0
3/27/2015,Toronto,L.A. Lakers ,94,83,-11,-8.0
1/2/2015,L.A. Lakers,Memphis ,106,109,3,4.0
11/7/2014,Orlando,Minnesota ,112,103,-9,4.0
12/16/2014,Washington,Minnesota ,109,95,-14,-12.5
1/14/2015,Detroit,New Orleans ,94,105,11,-3.5
12/28/2014,Portland,New York ,101,79,-22,-11.5
11/1/2014,Utah,Phoenix ,118,91,-27,2.0
1/30/2015,Atlanta,Portland ,105,99,-6,-5.0
4/6/2015,Brooklyn,Portland ,106,96,-10,-6.0
4/3/2015,L.A. Lakers,Portland ,77,107,30,10.5
11/5/2014,Boston,Toronto ,107,110,3,-2.0
11/22/2014,Cleveland,Toronto ,93,110,17,-3.0
2/24/2015,Dallas,Toronto ,99,92,-7,-4.5
4/1/2015,Minnesota,Toronto ,99,113,14,10.0
12/2/2014,Sacramento,Toronto ,109,117,8,2.5
1/31/2015,Washington,Toronto ,116,120,4,-5.0
1/25/2015,Denver,Washington ,115,117,2,3.5
4/8/2015,Brooklyn,Atlanta ,111,114,3,-4.5
11/25/2014,Denver,Chicago ,114,109,-5,-4.5
3/15/2015,Oklahoma City,Chicago ,109,100,-9,-7.0
1/31/2015,Minnesota,Cleveland ,90,106,16,10.5
11/19/2014,Washington,Dallas ,102,105,3,2.5
12/15/2014,L.A. Clippers,Detroit ,113,91,-22,-11.5
12/6/2014,Chicago,Golden State ,102,112,10,2.5
2/22/2015,Indiana,Golden State ,104,98,-6,4.0
12/16/2014,Memphis,Golden State ,105,98,-7,-3.5
12/17/2014,Denver,Houston ,111,115,4,3.0
1/2/2015,New Orleans,Houston ,111,83,-28,2.0
4/8/2015,San Antonio,Houston ,110,98,-12,-6.5
3/29/2015,Washington,Houston ,91,99,8,2.0
1/25/2015,Orlando,Indiana ,99,106,7,1.5
2/2/2015,Phoenix,Memphis ,101,102,1,2.5
3/13/2015,Toronto,Miami ,102,92,-10,-5.0
1/29/2015,Orlando,Milwaukee ,100,115,15,4.0
2/8/2015,Detroit,Minnesota ,101,112,11,-8.0
1/12/2015,Boston,New Orleans ,108,100,-8,5.5
11/17/2014,Portland,New Orleans ,102,93,-9,-3.5
11/18/2014,Sacramento,New Orleans ,100,106,6,-3.0
10/30/2014,Cleveland,New York ,90,95,5,-13.0
1/26/2015,Memphis,Orlando ,103,94,-9,-12.0
10/31/2014,Milwaukee,Philadelphia ,93,81,-12,-8.5
11/19/2014,Detroit,Phoenix ,86,88,2,2.5
12/29/2014,Brooklyn,Sacramento ,107,99,-8,-1.0
3/7/2015,Miami,Sacramento ,114,109,-5,-1.0
1/20/2015,Denver,San Antonio ,99,109,10,8.5
4/10/2015,Houston,San Antonio ,103,104,1,3.5
11/3/2014,L.A. Clippers,Utah ,107,101,-6,-9.5
12/7/2014,Boston,Washington ,101,93,-8,3.5
12/15/2014,Philadelphia,Boston ,87,105,18,5.0
