geo,time,extreme_poverty_percent_people_below_125_a_day
alb,1996,0.2
alb,2002,0.73
alb,2004,0.53
alb,2005,0.44
alb,2008,0.2
alb,2012,0.46
dza,1988,7.1
dza,1995,6.38
ago,2000,54.31
ago,2009,43.37
arg,1986,0
arg,1987,0
arg,1991,0.97
arg,1992,1.77
arg,1993,2.05
arg,1994,1.93
arg,1995,3.87
arg,1996,4.27
arg,1997,3.77
arg,1998,3.99
arg,1999,4.2
arg,2000,5.06
arg,2001,8.25
arg,2002,12.58
arg,2003,9
arg,2004,6.29
arg,2005,4.62
arg,2006,3.76
arg,2007,3.01
arg,2008,2.74
arg,2009,2.68
arg,2010,1.73
arg,2011,1.41
arm,1996,17.5
arm,1999,16.76
arm,2001,18.83
arm,2002,14.5
arm,2003,10.68
arm,2004,7.6
arm,2005,4.22
arm,2006,3.17
arm,2007,3.37
arm,2008,1.41
arm,2009,1.56
arm,2010,2.5
arm,2011,2.45
arm,2012,1.75
aus,1981,0.67
aus,1985,0.67
aus,1989,0.68
aus,1995,1.34
aus,2001,1.35
aus,2003,1.36
aut,1987,0
aut,1994,0.4
aut,1995,1
aut,1997,0.34
aut,2000,0.4
aut,2004,0.34
aze,1995,25.23
aze,2001,6.27
aze,2002,0.02
aze,2003,0.04
aze,2004,0
aze,2005,0
aze,2008,0.31
bgd,1984,69.55
bgd,1986,64.35
bgd,1989,71.61
bgd,1992,70.22
bgd,1996,60.91
bgd,2000,58.59
bgd,2005,50.47
bgd,2010,43.25
blr,1988,0.08
blr,1993,0.02
blr,1995,0.36
blr,1998,0.84
blr,1999,0.38
blr,2000,0.26
blr,2001,0.12
blr,2002,0.47
blr,2003,0.5
blr,2004,0.06
blr,2005,0.06
blr,2006,0.05
blr,2007,0
blr,2008,0
blr,2009,0.01
blr,2010,0
blr,2011,0
bel,1985,0.36
bel,1988,0.67
bel,1992,0.83
bel,1995,0.35
bel,1997,0.35
bel,2000,0.5
blz,1993,9.09
blz,1994,8.93
blz,1995,14.03
blz,1996,9.66
blz,1997,12.45
blz,1998,11.31
blz,1999,12.21
ben,2003,47.33
ben,2012,51.61
btn,2003,23.96
btn,2007,10.22
btn,2012,2.38
bol,1991,5.24
bol,1993,8.51
bol,1997,16.98
bol,1999,23.32
bol,2000,26.87
bol,2001,21.33
bol,2002,21.98
bol,2004,11.69
bol,2005,18.31
bol,2006,15.86
bol,2007,12.19
bol,2008,10.48
bol,2009,10.67
bol,2011,6.97
bol,2012,7.98
bih,2001,0.28
bih,2004,0.1
bih,2007,0.04
bwa,1986,35.61
bwa,1994,31.23
bwa,2003,24.36
bwa,2009,13.41
bra,1981,13.64
bra,1982,13.66
bra,1983,16.65
bra,1984,15.5
bra,1985,13.52
bra,1986,9.7
bra,1987,13.64
bra,1988,14.68
bra,1989,13.71
bra,1990,16.23
bra,1992,16.7
bra,1993,15.87
bra,1995,9.93
bra,1996,11.21
bra,1997,10.9
bra,1998,9.58
bra,1999,9.87
bra,2001,10.2
bra,2002,8.87
bra,2003,9.62
bra,2004,8.14
bra,2005,7.18
bra,2006,5.93
bra,2007,5.84
bra,2008,4.87
bra,2009,4.72
bra,2011,4.53
bra,2012,3.75
bgr,1989,0.04
bgr,1992,0
bgr,1994,0.22
bgr,1995,0.82
bgr,1997,0.32
bgr,2001,2.12
bgr,2003,0.62
bgr,2007,0.26
bgr,2008,0.73
bgr,2010,1.64
bgr,2011,1.9
bfa,1994,71.17
bfa,1998,70.03
bfa,2003,48.9
bfa,2009,44.46
bdi,1992,84.24
bdi,1998,86.43
bdi,2006,81.32
khm,1994,44.5
khm,2004,32.77
khm,2007,30.82
khm,2008,20.89
khm,2009,12.93
khm,2010,11.25
khm,2011,10.05
cmr,1996,47.43
cmr,2001,24.86
cmr,2007,27.61
can,1981,0.68
can,1987,0.37
can,1991,0.33
can,1994,0.33
can,1997,0.36
can,1998,0.68
can,2000,0.34
can,2004,0.34
can,2007,0.34
can,2010,0.34
cpv,2002,21.02
cpv,2008,13.72
caf,1992,83.15
caf,2003,62.43
caf,2008,62.83
tcd,2003,61.94
tcd,2011,36.52
chl,1987,5.8
chl,1990,4.91
chl,1992,2.74
chl,1994,3.05
chl,1996,2.2
chl,1998,2.32
chl,2000,2.16
chl,2003,1.73
chl,2006,1.07
chl,2009,1.28
chl,2011,0.83
chn,1981,84.27
chn,1984,69.43
chn,1987,53.95
chn,1990,60.73
chn,1993,54.85
chn,1996,37.39
chn,1999,36
chn,2002,28.06
chn,2005,15.77
chn,2008,12.34
chn,2010,9.19
chn,2011,6.26
col,1980,15.45
col,1988,10.69
col,1989,8.08
col,1991,8.18
col,1992,6.29
col,1996,13
col,1999,16.18
col,2000,17.85
col,2001,17.86
col,2002,11.14
col,2003,10.34
col,2004,9.01
col,2005,7.87
col,2006,11.04
col,2007,8.84
col,2008,8.5
col,2009,7.26
col,2010,6.17
col,2011,4.95
col,2012,5.63
com,2004,46.11
cod,2006,87.72
cog,2005,54.1
cog,2011,32.82
cri,1981,11.4
cri,1986,5.68
cri,1989,10.59
cri,1990,8.45
cri,1991,9.69
cri,1992,8.12
cri,1993,6.89
cri,1994,5.75
cri,1995,6.01
cri,1996,7.02
cri,1997,5.3
cri,1998,4.22
cri,1999,5.43
cri,2000,5.56
cri,2001,5.51
cri,2002,5.5
cri,2003,5.4
cri,2004,4.85
cri,2005,3.57
cri,2006,3.72
cri,2007,2.06
cri,2008,2.28
cri,2009,2.86
cri,2010,1.27
cri,2011,1.36
cri,2012,1.35
civ,1985,8.08
civ,1986,4.11
civ,1987,8.68
civ,1988,13.76
civ,1993,26.47
civ,1995,21.09
civ,1998,30.06
civ,2002,29.66
civ,2008,35.04
hrv,1988,0.04
hrv,1998,0
hrv,1999,0.19
hrv,2000,0.07
hrv,2001,0.06
hrv,2004,0
hrv,2008,0
cze,1988,0
cze,1993,0
cze,1996,0.13
cze,2005,0
cze,2006,0.07
cze,2008,0.04
cze,2009,0.03
cze,2010,0.04
cze,2011,0.03
dnk,1987,1.02
dnk,1992,0.67
dnk,1995,0.33
dnk,2000,0.34
dnk,2004,0.33
dnk,2007,0.39
dnk,2010,0.67
dji,2002,18.83
dom,1986,16.37
dom,1989,12.16
dom,1992,4.66
dom,1996,4.69
dom,1997,4.95
dom,2000,5.24
dom,2001,3.68
dom,2002,5.27
dom,2003,6.43
dom,2004,7.83
dom,2005,5.38
dom,2006,4.23
dom,2007,3.72
dom,2008,3.35
dom,2009,2.99
dom,2010,2.24
dom,2011,2.54
dom,2012,2.25
ecu,1987,12.86
ecu,1994,14.59
ecu,1995,9.48
ecu,1998,10.16
ecu,1999,16.19
ecu,2000,20.32
ecu,2003,12
ecu,2004,10.45
ecu,2005,9.16
ecu,2006,6.12
ecu,2007,6.94
ecu,2008,6.26
ecu,2009,6.03
ecu,2010,4.58
ecu,2011,4.04
ecu,2012,3.95
egy,1991,4.46
egy,1996,2.46
egy,2000,1.81
egy,2005,2.26
egy,2008,1.68
slv,1989,15.24
slv,1991,17.07
slv,1995,9.96
slv,1996,11.54
slv,1998,17.38
slv,1999,13.73
slv,2000,13.67
slv,2001,14.4
slv,2002,14.68
slv,2003,13.4
slv,2004,8.02
slv,2005,7.11
slv,2006,4.27
slv,2007,2.85
slv,2008,4.82
slv,2009,4.24
slv,2010,5.17
slv,2011,2.82
slv,2012,2.53
est,1988,0.05
est,1993,0.79
est,1995,0.25
est,1998,0.05
est,2000,0.6
est,2001,0.57
est,2002,0.57
est,2003,0.37
est,2005,0.72
est,2006,0.73
est,2007,0.47
est,2008,0.45
est,2009,0.59
est,2010,0.81
est,2011,0.98
eth,1982,69.12
eth,1995,63.2
eth,2000,54.57
eth,2005,38.96
eth,2011,36.79
fji,2003,29.16
fji,2009,5.88
fin,1987,0
fin,1991,0
fin,1995,0
fin,2000,0
fin,2004,0
fin,2007,0
fin,2010,0
fra,1984,3
fra,1989,1.68
fra,1994,0.35
fra,2000,0.35
fra,2005,0.33
gab,2005,6.09
gmb,1998,65.61
gmb,2003,33.63
geo,1996,4.72
geo,1997,17.52
geo,1998,13.36
geo,1999,17.19
geo,2000,17.75
geo,2001,17.42
geo,2002,14.19
geo,2003,15.62
geo,2004,15.11
geo,2005,14.86
geo,2006,13.87
geo,2007,14.75
geo,2008,14.05
geo,2009,13.99
geo,2010,18.04
geo,2011,16.05
geo,2012,14.14
deu,1981,0
deu,1983,0
deu,1984,0.34
deu,1989,0
deu,1994,0.34
deu,2000,0
deu,2004,0
deu,2007,0
deu,2010,0.34
gha,1988,50.59
gha,1989,49.37
gha,1992,51.07
gha,1998,39.12
gha,2006,28.59
grc,1995,1.67
grc,2000,0.68
grc,2004,1.01
grc,2007,1.03
grc,2010,1.37
gtm,1987,38.64
gtm,1989,28.36
gtm,1998,16.23
gtm,2000,11.79
gtm,2002,19.91
gtm,2003,17.97
gtm,2004,16.47
gtm,2006,13.45
gtm,2011,13.7
gin,1991,93.74
gin,1994,63.81
gin,2003,56.32
gin,2007,39.33
gin,2012,40.87
gnb,1991,41.31
gnb,1993,65.33
gnb,2002,48.9
guy,1993,6.91
guy,1998,8.7
hti,2001,61.71
hnd,1986,12.99
hnd,1989,41.06
hnd,1990,46.91
hnd,1991,33.04
hnd,1992,26.86
hnd,1993,20.97
hnd,1994,24.21
hnd,1995,26.18
hnd,1996,28.48
hnd,1997,19.45
hnd,1998,24.4
hnd,1999,24.84
hnd,2001,16.96
hnd,2002,27.48
hnd,2003,25.59
hnd,2004,24.59
hnd,2005,25.85
hnd,2006,22.4
hnd,2007,15.8
hnd,2008,14.61
hnd,2009,12.4
hnd,2010,13.41
hnd,2011,16.48
hun,1987,0.05
hun,1989,0.04
hun,1993,0.15
hun,1998,0
hun,1999,0.02
hun,2000,0
hun,2001,0
hun,2002,0
hun,2003,0
hun,2005,0
hun,2006,0.13
hun,2008,0.03
hun,2010,0.05
hun,2011,0.05
ind,1978,65.89
ind,1983,55.51
ind,1988,53.59
ind,1994,49.4
ind,2005,41.64
ind,2010,32.68
ind,2012,23.63
idn,1984,62.84
idn,1987,68.16
idn,1990,54.27
idn,1993,54.4
idn,1996,43.38
idn,1999,47.7
idn,2002,29.39
idn,2005,21.56
idn,2008,22.71
idn,2010,18.04
idn,2011,16.2
irn,1986,4.19
irn,1990,3.85
irn,1994,1.42
irn,1998,1.26
irn,2005,1.45
irq,2007,3.37
irq,2012,3.91
irl,1987,1.37
irl,1994,0.35
irl,1995,0.34
irl,1996,0
irl,2000,0.37
irl,2004,0
irl,2007,0
irl,2010,0.36
isr,1979,0
isr,1986,0
isr,1992,0
isr,1997,0.36
isr,2001,0.33
isr,2005,0.67
isr,2007,0.33
isr,2010,0.39
ita,1986,0
ita,1987,1.34
ita,1989,0.34
ita,1991,0.37
ita,1993,1
ita,1995,1.01
ita,1998,1.67
ita,2000,1.34
ita,2004,0.67
ita,2008,1.01
ita,2010,1.35
jam,1988,3.97
jam,1990,1.27
jam,1993,3.82
jam,1996,1.76
jam,1999,1.33
jam,2001,37.33
jam,2002,0.31
jam,2004,0.24
jpn,2008,0.35
jor,1987,0
jor,1992,2.74
jor,1997,1.49
jor,2003,1.16
jor,2006,0.25
jor,2008,0.07
jor,2010,0.08
kaz,1988,0.02
kaz,1993,4.21
kaz,1996,4.98
kaz,2001,6.12
kaz,2002,3.76
kaz,2003,2.41
kaz,2004,1.45
kaz,2005,0.02
kaz,2006,0.41
kaz,2007,0.16
kaz,2008,0.01
kaz,2010,0.06
ken,1992,38.42
ken,1994,28.5
ken,1997,31.83
ken,2005,43.37
kgz,1988,0
kgz,1993,18.61
kgz,1998,31.84
kgz,2000,36.81
kgz,2001,32.58
kgz,2002,29.74
kgz,2003,24.71
kgz,2004,10.99
kgz,2005,19.91
kgz,2006,13.38
kgz,2007,1.9
kgz,2008,5.5
kgz,2009,5.63
kgz,2010,6.02
kgz,2011,5.11
lao,1992,55.68
lao,1997,47.53
lao,2002,41.22
lao,2007,35.1
lao,2012,30.26
lva,1988,0.02
lva,1993,0
lva,1995,0
lva,1996,0.42
lva,1997,0.56
lva,1998,0
lva,2002,0.41
lva,2004,0.11
lva,2006,1.19
lva,2008,0
lva,2010,1.38
lva,2011,1.07
lso,1987,57.21
lso,1993,67.03
lso,1994,55.9
lso,2003,55.16
lso,2010,56.22
lbr,2007,83.76
ltu,1988,0.06
ltu,1993,2.15
ltu,1996,0
ltu,1998,0.12
ltu,2000,0.06
ltu,2001,0.3
ltu,2002,0.16
ltu,2003,0.07
ltu,2004,0.06
ltu,2005,1.71
ltu,2006,1.4
ltu,2008,0.05
ltu,2010,1.48
ltu,2011,0.83
mkd,1998,0
mkd,2000,4.17
mkd,2002,0.53
mkd,2003,0.45
mkd,2004,0.52
mkd,2005,0.28
mkd,2006,0.92
mkd,2008,0.28
mdg,1980,94.64
mdg,1993,67.07
mdg,1997,72.04
mdg,1999,82.37
mdg,2001,76.34
mdg,2005,82.43
mdg,2010,87.67
mwi,1998,83.22
mwi,2004,74.95
mwi,2010,72.16
mys,1984,3.23
mys,1987,2.4
mys,1989,1.92
mys,1992,1.63
mys,1995,2.09
mys,1997,0.54
mys,2004,0.54
mys,2007,0
mys,2009,0
mdv,1998,25.59
mdv,2004,1.48
mli,1994,85.92
mli,2001,61.18
mli,2006,51.43
mli,2010,50.61
mrt,1987,41.32
mrt,1993,42.79
mrt,1996,23.4
mrt,2000,21.16
mrt,2004,25.41
mrt,2008,23.43
mex,1984,12.78
mex,1989,7.95
mex,1992,4.83
mex,1994,3.56
mex,1996,7.86
mex,1998,8.62
mex,2000,5.53
mex,2002,3.9
mex,2004,1.6
mex,2005,4.93
mex,2006,0.68
mex,2008,1.15
mex,2010,0.72
mex,2012,1.03
fsm,2000,31.15
mda,1988,15.86
mda,1992,12.25
mda,1997,15.66
mda,1998,25.54
mda,1999,35.67
mda,2001,25.01
mda,2002,14.96
mda,2003,6.25
mda,2004,6.67
mda,2005,12.49
mda,2006,2.17
mda,2007,1.01
mda,2008,1.07
mda,2009,0.78
mda,2010,0.42
mda,2011,0.23
mne,2005,0.25
mne,2006,0.14
mne,2007,0.37
mne,2008,0.09
mne,2009,0
mne,2010,0
mne,2011,0.21
mar,1985,10.29
mar,1991,2.45
mar,1999,6.76
mar,2001,6.27
mar,2007,2.57
moz,1996,80.59
moz,2003,74.69
moz,2009,60.71
nam,1993,49.14
nam,2004,31.91
nam,2010,23.54
npl,1985,78.15
npl,1996,67.97
npl,2003,53.13
npl,2010,23.74
nld,1983,0.47
nld,1987,1.34
nld,1990,1.34
nld,1993,1.02
nld,1999,0.34
nld,2004,0.68
nld,2007,0.37
nld,2010,0.35
nic,1993,32.73
nic,1998,12.51
nic,2001,14.37
nic,2005,2.84
nic,2009,8.54
ner,1992,72.79
ner,1994,78.17
ner,2005,51.25
ner,2008,42.06
ner,2011,40.81
nga,1986,54.05
nga,1992,61.9
nga,1996,68.65
nga,2004,61.84
nga,2010,62.03
nor,1986,0.34
nor,1991,0.36
nor,1995,0.36
nor,2000,0.34
nor,2004,0.34
nor,2007,0.33
nor,2010,0.67
pak,1987,66.46
pak,1991,64.71
pak,1997,48.14
pak,1999,29.05
pak,2002,35.87
pak,2005,22.59
pak,2006,22.58
pak,2008,17.15
pak,2011,12.74
pan,1979,7.98
pan,1989,22.87
pan,1991,20.89
pan,1995,15.69
pan,1997,14.57
pan,1998,14.77
pan,1999,12.66
pan,2000,13.82
pan,2002,11.07
pan,2003,10.67
pan,2004,9.92
pan,2005,9.49
pan,2006,10.18
pan,2007,7.2
pan,2008,4.73
pan,2009,2.99
pan,2010,3.82
pan,2011,3.55
pan,2012,3.99
png,1996,35.79
pry,1990,1.05
pry,1995,11.5
pry,1998,9.6
pry,1999,9.35
pry,2001,8.09
pry,2002,12.52
pry,2003,7.81
pry,2004,5.58
pry,2005,6.1
pry,2006,8.7
pry,2007,7.46
pry,2008,4.32
pry,2009,5.7
pry,2010,5.32
pry,2011,4.43
pry,2012,3.03
per,1986,11.34
per,1994,9.81
per,1997,0.97
per,1998,14.36
per,1999,15.8
per,2000,12.51
per,2001,13.39
per,2002,11.56
per,2003,8.95
per,2004,6.75
per,2005,7.83
per,2006,6.43
per,2007,6.31
per,2008,4.84
per,2009,3.5
per,2010,2.73
per,2011,2.97
per,2012,2.89
phl,1985,39.06
phl,1988,33.67
phl,1991,33.15
phl,1994,30.51
phl,1997,23.7
phl,2000,24.59
phl,2003,22.88
phl,2006,22.58
phl,2009,18.1
phl,2012,18.96
pol,1985,0.13
pol,1987,0.1
pol,1989,0.08
pol,1992,0.03
pol,1996,1.4
pol,1998,0
pol,1999,0.04
pol,2000,0.05
pol,2001,0.05
pol,2002,0.02
pol,2004,0.05
pol,2005,0.08
pol,2006,0.01
pol,2007,0.02
pol,2008,0.01
pol,2009,0
pol,2010,0
pol,2011,0
rou,1989,0.29
rou,1992,0.4
rou,1994,4.97
rou,1998,1.69
rou,1999,2.89
rou,2001,2.46
rou,2002,2.63
rou,2003,1.57
rou,2004,0
rou,2005,0
rou,2006,0
rou,2007,0
rou,2008,0
rou,2009,0
rou,2010,0
rou,2011,0
rou,2012,0
rus,1988,0.51
rus,1993,1.5
rus,1996,2.81
rus,1999,2.72
rus,2001,0.89
rus,2002,0.51
rus,2003,0.38
rus,2004,0.7
rus,2005,0.22
rus,2006,0.17
rus,2007,0.09
rus,2008,0
rus,2009,0.03
rwa,1985,63.26
rwa,2000,79.37
rwa,2006,71.97
rwa,2011,63.02
lca,1995,20.96
stp,2001,28.18
stp,2010,43.53
sen,1991,65.71
sen,1994,53.49
sen,2001,44.13
sen,2005,33.5
sen,2011,34.06
srb,2002,0.26
srb,2003,0.31
srb,2004,0.41
srb,2005,0.59
srb,2006,0.25
srb,2007,0.12
srb,2008,0.04
srb,2009,0.07
srb,2010,0.05
syc,2000,0
syc,2007,0.25
sle,1990,62.85
sle,2003,59.44
sle,2011,56.63
svk,1988,0
svk,1992,0
svk,1996,0.18
svk,2004,0.17
svk,2005,0.05
svk,2006,0
svk,2008,0
svk,2009,0
svk,2010,0.4
svk,2011,0.3
svn,1987,0.02
svn,1993,0.03
svn,1998,0.02
svn,2002,0.05
svn,2003,0
svn,2004,0.06
svn,2005,0.08
svn,2006,0.05
svn,2008,0.01
svn,2010,0.01
svn,2011,0
zaf,1993,24.3
zaf,1995,21.43
zaf,2000,26.2
zaf,2006,16.72
zaf,2009,13.67
zaf,2011,9.42
esp,1980,0.67
esp,1990,0.34
esp,1995,1.67
esp,2000,0.33
esp,2004,1.34
esp,2007,1
esp,2010,2.34
lka,1985,19.96
lka,1991,15.01
lka,1996,16.32
lka,2002,13.95
lka,2007,7.04
lka,2010,4.11
sdn,2009,19.8
sur,1999,15.54
swz,1995,78.59
swz,2001,43.02
swz,2010,39.3
swe,1981,0.41
swe,1987,0.35
swe,1992,0.33
swe,1995,0.34
swe,2000,0.34
swe,2005,0.35
che,1982,0.69
che,1992,3.34
che,2000,0.34
che,2002,0.34
che,2004,0.67
syr,2004,1.71
tjk,1999,50.08
tjk,2003,35.42
tjk,2004,20.7
tjk,2007,12.18
tjk,2009,6.47
tza,1992,71.98
tza,2000,84.23
tza,2007,67.87
tza,2012,43.48
tha,1981,21.96
tha,1988,17.25
tha,1990,11.55
tha,1992,8.6
tha,1994,4.11
tha,1996,2.86
tha,1998,2.08
tha,1999,3.61
tha,2000,3.03
tha,2002,1.64
tha,2006,1.01
tha,2008,0.32
tha,2010,0.31
tls,2007,34.87
tgo,2006,53.15
tgo,2011,52.46
tto,1988,1.42
tto,1992,4.16
tun,1985,8.64
tun,1990,5.86
tun,1995,6.47
tun,2000,2.55
tun,2005,1.38
tun,2010,0.74
tur,1987,1.16
tur,1994,1.84
tur,2002,1.15
tur,2003,2.87
tur,2004,1.41
tur,2005,1.45
tur,2006,1.35
tur,2007,0.95
tur,2008,0.1
tur,2009,0.36
tur,2010,0.59
tur,2011,0.08
tkm,1988,14.4
tkm,1993,63.53
tkm,1998,24.82
uga,1989,70.8
uga,1992,71.92
uga,1996,63.01
uga,1999,59.43
uga,2002,56.57
uga,2006,51.72
uga,2009,37.91
uga,2013,37.78
ukr,1988,1.77
ukr,1992,0.03
ukr,1995,1.96
ukr,1996,1.93
ukr,1999,2.03
ukr,2002,0.42
ukr,2003,0.11
ukr,2004,0.04
ukr,2005,0.05
ukr,2006,0.14
ukr,2007,0.06
ukr,2008,0
ukr,2009,0.06
ukr,2010,0
gbr,1991,0.68
gbr,1994,0.67
gbr,1995,1.35
gbr,1999,0.67
gbr,2004,0.67
gbr,2007,1.01
gbr,2010,1.01
usa,1986,0.68
usa,1991,0.67
usa,1994,0.67
usa,1997,1
usa,2000,0.67
usa,2004,1
usa,2007,1.33
usa,2010,1.67
ury,1981,0
ury,1989,0.49
ury,1992,0.9
ury,1995,0.55
ury,1996,0.68
ury,1997,0.61
ury,1998,0.81
ury,2000,0.48
ury,2001,0.61
ury,2002,0.79
ury,2003,0.95
ury,2004,1.19
ury,2005,1.31
ury,2006,0.73
ury,2007,0.48
ury,2008,0.26
ury,2009,0.27
ury,2010,0.2
ury,2011,0.25
ury,2012,0.31
ven,1981,3.27
ven,1987,3.13
ven,1989,6.31
ven,1992,4.4
ven,1995,9.56
ven,1998,9.88
ven,1999,11.41
ven,2001,9.57
ven,2002,15.85
ven,2003,19.06
ven,2004,15.88
ven,2005,13.17
ven,2006,6.63
pse,2004,0.23
pse,2007,0.92
pse,2009,0.08
vnm,1993,63.76
vnm,1998,49.36
vnm,2002,40.07
vnm,2004,31.4
vnm,2006,21.44
vnm,2008,16.82
vnm,2010,3.93
vnm,2012,2.44
yem,1998,10.47
yem,2005,9.78
zmb,1991,61.05
zmb,1993,65.27
zmb,1996,62.07
zmb,1998,55.67
zmb,2003,64.6
zmb,2004,64.29
zmb,2006,68.51
zmb,2010,74.32
